size,runtime
5.0,0.0950920581817627
5.0,0.11907958984375
5.0,0.10305380821228027
5.0,0.09450411796569824
5.0,0.09580588340759277
5.0,0.11087846755981445
5.0,0.06248617172241211
5.0,0.046861886978149414
5.0,0.0624547004699707
5.0,0.04686427116394043
6.0,0.06245684623718262
6.0,0.06245136260986328
6.0,0.06245160102844238
6.0,0.0624845027923584
6.0,0.04683065414428711
6.0,0.07810378074645996
6.0,0.10934662818908691
6.0,0.062482357025146484
6.0,0.0624547004699707
6.0,0.0624842643737793
7.0,0.10934782028198242
7.0,0.09369468688964844
7.0,0.17183351516723633
7.0,0.10934591293334961
7.0,0.17180132865905762
7.0,0.14062190055847168
7.0,0.28118228912353516
7.0,0.1718606948852539
7.0,0.1874544620513916
7.0,0.5779898166656494
8.0,0.937246561050415
8.0,0.28115105628967285
8.0,0.20307421684265137
8.0,0.952899694442749
8.0,0.624849796295166
8.0,0.17183303833007812
8.0,0.46863865852355957
8.0,0.28118419647216797
8.0,1.0778687000274658
8.0,0.5467467308044434
9.0,0.9060361385345459
9.0,0.7342021465301514
9.0,0.9685220718383789
9.0,0.9997665882110596
9.0,0.6091978549957275
9.0,0.9997332096099854
9.0,0.9841427803039551
9.0,0.8279285430908203
9.0,0.9685249328613281
9.0,0.9685220718383789
10.0,1.171598196029663
10.0,1.3902971744537354
10.0,1.359055995941162
10.0,1.29656982421875
10.0,1.530890941619873
10.0,1.3746767044067383
10.0,1.3121867179870605
10.0,1.4996488094329834
10.0,0.3124258518218994
10.0,3.1592214107513428
11.0,5.752233982086182
11.0,3.1743950843811035
11.0,2.8998727798461914
11.0,3.1436305046081543
11.0,3.740255117416382
11.0,4.314118146896362
11.0,3.6626219749450684
11.0,4.10532808303833
11.0,2.625624179840088
11.0,3.698812484741211
11.0,4.881728649139404
12.0,4.375365972518921
12.0,4.50698184967041
12.0,4.760202407836914
12.0,6.057525157928467
12.0,4.277939319610596
12.0,4.693773508071899
12.0,4.502364635467529
12.0,8.425831079483032
12.0,18.163153648376465
12.0,9.096787691116333
13.0,14.500362634658813
13.0,14.990628957748413
13.0,11.038448095321655
13.0,12.40617322921753
13.0,17.764278173446655
13.0,14.5955171585083
13.0,19.778459548950195
13.0,10.172493934631348
13.0,8.2848961353302
13.0,16.106595516204834
14.0,25.65891718864441
14.0,13.002286434173584
14.0,23.50986933708191
14.0,41.34598636627197
14.0,22.58388900756836
14.0,24.152157306671143
14.0,19.884501218795776
14.0,21.87102437019348
14.0,61.501585960388184
14.0,20.208165645599365
14.0,21.25706958770752
14.0,11.976397275924683
14.0,24.612192153930664
14.0,37.98672103881836
14.0,21.192890167236328
14.0,29.83192253112793
14.0,21.42127513885498
14.0,24.60711908340454
14.0,55.67150831222534
14.0,52.44478511810303
14.0,16.495693922042847
