size,runInter0,runInter3
12,0.107684282,0.217038531
12,0.182899276,0.221621675
12,0.108926067,0.192753649
12,0.105798838,0.209437325
12,0.117799822,0.209472048
13,0.271299307,0.502840092
13,0.309846611,0.539034999
13,0.255943356,0.489384736
13,0.283292364,0.55250578
13,0.321354751,0.722564323
14,0.700794892,1.264449559
14,0.761876697,1.176736687
14,0.751491871,1.490989107
14,0.664668702,1.434027627
14,0.688197814,1.159395704
15,1.484026192,3.935513526
15,1.725041905,3.877373779
15,1.580041294,4.718700399
15,1.492337402,3.647543222
15,1.691083669,2.952432384
16,4.749354206,8.087834426
16,4.235070476,8.255014221
16,4.386984855,8.241596289
16,4.744853508,7.51999618
16,4.35136316,8.037265653
17,11.43856996,16.803991456
17,10.618385272,21.251616635
17,9.027305363,17.270009071
17,11.474843385,20.212443408
17,9.086346704,21.542796578
18,20.64736056,35.001045184
18,20.880938726,38.570860983
18,20.590832975,38.386541051
18,24.810094228,56.703153498
18,20.678465562,44.047309003
19,49.794766303,90.346601886
19,45.010581129,90.743423373
19,40.579999971,97.686417114
19,54.04609178,105.658011712
19,63.7425243,110.723795961
20,118.551260682,204.734084722
20,101.144684037,179.346784127
20,99.938267109,166.205871026
20,118.36604744,194.015683634
20,91.651570648,164.55063297
21,188.78298325,408.287166706
21,189.852625508,355.408106569
21,187.856517997,387.22631479
21,207.50818684,430.70774756
21,205.161088165,379.920058551
22,373.870804724,635.65265105
22,396.16018189,753.614255534
22,348.234648089,680.156764825
22,396.905134626,819.598620131
22,374.38998997,631.17295226
23,593.189531998,936.564995248
23,739.905175641,1234.234035468
23,642.351940957,1302.659227212
23,628.444409274,1342.82710712
23,641.047607769,1312.879667452
24,1238.095894528,2047.723798067
24,1322.272803009,2147.368938242
24,1506.111874945,2619.995069592
24,1349.268474539,2087.677229912
24,1312.495896244,1993.451138392
25,2469.954941968,3799.677377171
25,2248.490162347,3669.699270229
25,1718.046514343,3148.201017732
25,2218.206787409,3314.668586705
25,2411.045594542,4106.180750524
